order_date;registered_date;user_id;SKU;Quantity
26-Oct-17;10-Oct-17;81174;271017;1
26-Oct-17;26-Oct-17;81270;271017;1
26-Oct-17;26-Oct-17;81272;271017;1
26-Oct-17;26-Oct-17;81273;271017;1
26-Oct-17;26-Oct-17;81274;271017;1
27-Oct-17;27-Oct-17;81275;271017;1
27-Oct-17;27-Oct-17;81276;271017;1
27-Oct-17;27-Oct-17;81277;271017;1
27-Oct-17;27-Oct-17;81278;271017;1
27-Oct-17;5-Sep-17;80893;271017;1
27-Oct-17;27-Oct-17;81279;301017;1
27-Oct-17;27-Oct-17;81280;301017;1
27-Oct-17;27-Oct-17;81280;301017;1
29-Oct-17;29-Oct-17;81281;301017;1
30-Oct-17;30-Oct-17;81282;301017;1
30-Oct-17;30-Oct-17;81283;301017;1
30-Oct-17;26-Oct-17;81260;301017;2
30-Oct-17;30-Oct-17;81285;101117;1
30-Oct-17;30-Oct-17;81286;311017;1
30-Oct-17;30-Oct-17;81287;311017;1
30-Oct-17;30-Oct-17;81288;311017;1
30-Oct-17;15-Sep-17;80955;311017;1
30-Oct-17;30-Oct-17;81289;311017;1
31-Oct-17;31-Oct-17;81290;311017;1
31-Oct-17;31-Oct-17;81291;311017;1
31-Oct-17;31-Oct-17;81292;11117;1
31-Oct-17;12-Sep-17;80925;311017;2
31-Oct-17;31-Oct-17;81293;11117;2
31-Oct-17;31-Oct-17;81294;11117;1
31-Oct-17;31-Oct-17;81295;11117;1
31-Oct-17;31-Oct-17;81296;11117;1
31-Oct-17;31-Oct-17;81297;11117;1
31-Oct-17;24-Oct-17;81250;11117;1
31-Oct-17;31-Oct-17;81299;11117;1
31-Oct-17;31-Oct-17;81300;11117;1
1-Nov-17;31-Oct-17;81301;11117;1
1-Nov-17;31-Oct-17;81302;11117;1
1-Nov-17;31-Oct-17;81303;11117;1
1-Nov-17;1-Nov-17;81304;11117;1
1-Nov-17;1-Nov-17;81305;11117;1
1-Nov-17;6-Oct-17;81149;11117;1
1-Nov-17;1-Nov-17;81306;11117;1
1-Nov-17;1-Nov-17;81309;21117;2
1-Nov-17;1-Nov-17;81310;21117;2
1-Nov-17;1-Nov-17;81311;21117;1
1-Nov-17;1-Nov-17;81313;21117;1
1-Nov-17;1-Nov-17;81314;31117;1
2-Nov-17;2-Nov-17;81315;21117;1
2-Nov-17;2-Nov-17;81316;21117;1
2-Nov-17;1-Nov-17;81307;21117;1
2-Nov-17;2-Nov-17;81317;31117;1
2-Nov-17;25-Oct-17;81257;31117;1
2-Nov-17;2-Nov-17;81318;31117;1
2-Nov-17;2-Nov-17;81319;31117;1
2-Nov-17;2-Nov-17;81320;171117;1
2-Nov-17;2-Nov-17;81322;31117;1
3-Nov-17;2-Nov-17;81323;31117;1
3-Nov-17;3-Nov-17;81324;31117;1
3-Nov-17;3-Nov-17;81325;31117;1
3-Nov-17;3-Nov-17;81326;031117 Luxe;1
3-Nov-17;3-Nov-17;81326;031117 Luxe;1
3-Nov-17;3-Nov-17;81327;31117;1
3-Nov-17;3-Nov-17;81329;61117;1
3-Nov-17;3-Nov-17;81328;31117;1
3-Nov-17;2-Nov-17;81323;31117;1
3-Nov-17;3-Nov-17;81330;61117;1
5-Nov-17;5-Nov-17;81331;61117;1
6-Nov-17;5-Nov-17;81332;61117;1
6-Nov-17;6-Nov-17;81333;61117;1
6-Nov-17;6-Nov-17;81334;71117;1
6-Nov-17;6-Nov-17;81335;71117;1
6-Nov-17;6-Nov-17;81336;71117;2
6-Nov-17;27-Sep-17;81043;71117;1
7-Nov-17;6-Nov-17;81337;71117;1
7-Nov-17;6-Nov-17;81338;71117;1
7-Nov-17;7-Nov-17;81339;71117;1
7-Nov-17;31-Oct-17;81293;101117;2
7-Nov-17;7-Nov-17;81341;81117;1
8-Nov-17;8-Nov-17;81342;81117;1
9-Nov-17;8-Nov-17;81343;91117;1
9-Nov-17;2-Nov-17;81323;91117;1
9-Nov-17;8-Nov-17;81344;91117;1
9-Nov-17;14-Sep-17;80954;91117;1
9-Nov-17;8-Nov-17;81345;91117;1
9-Nov-17;8-Nov-17;81346;101117;1
9-Nov-17;9-Nov-17;81347;91117;1
9-Nov-17;29-Aug-17;80875;101117;1
9-Nov-17;29-Aug-17;80875;101117;1
9-Nov-17;29-Aug-17;80875;101117;1
9-Nov-17;9-Nov-17;81350;101117;1
9-Nov-17;9-Nov-17;81351;101117;1
9-Nov-17;9-Nov-17;81349;101117;1
9-Nov-17;9-Nov-17;81352;101117;1
9-Nov-17;9-Nov-17;81352;101117;1
9-Nov-17;9-Nov-17;81352;101117;1
9-Nov-17;9-Nov-17;81352;101117;1
9-Nov-17;9-Nov-17;81352;101117;1
9-Nov-17;6-Oct-17;81153;101117;1
9-Nov-17;9-Nov-17;81353;101117;1
